det_-1005_0_0,752.5,1822.55,0.0
det_-1005_0_1,859.26,1854.98,111.58
det_-1005_1_0,751.57,1825.61,0.0
det_-1005_1_1,858.33,1858.04,111.58
det_-1005_2_0,750.64,1828.68,0.0
det_-1005_2_1,857.4,1861.1,111.58
det_-1011_0_0,768.25,2072.91,0.0
det_-1011_0_1,852.82,1888.09,203.25
det_-1011_1_0,771.16,2074.24,0.0
det_-1011_1_1,855.73,1889.42,203.25
det_-1011_2_0,774.07,2075.58,0.0
det_-1011_2_1,858.64,1890.75,203.25
det_-1027_0_0,586.99,1709.31,0.0
det_-1027_0_1,601.63,1507.49,202.35
det_-1027_1_0,590.18,1709.54,0.0
det_-1027_1_1,604.82,1507.72,202.35
det_-1027_2_0,593.38,1709.77,0.0
det_-1027_2_1,608.01,1507.95,202.35
det_-1029_0_0,728.6,1824.02,0.0
det_-1029_0_1,648.04,1707.6,141.57
det_-1029_1_0,731.23,1822.2,0.0
det_-1029_1_1,650.67,1705.78,141.57
det_-1029_2_0,733.86,1820.37,0.0
det_-1029_2_1,653.31,1703.96,141.57
det_-1033_0_0,736.23,806.7,0.0
det_-1033_0_1,652.78,830.56,86.79
det_-1033_1_0,735.35,803.63,0.0
det_-1033_1_1,651.9,827.48,86.79
det_-1033_2_0,734.47,800.55,0.0
det_-1033_2_1,651.03,824.41,86.79
det_-1057_0_0,1460.24,1087.68,0.0
det_-1057_0_1,1255.67,1012.67,217.89
det_-1057_1_0,1461.34,1084.68,0.0
det_-1057_1_1,1256.77,1009.66,217.89
det_-1057_2_0,1462.44,1081.67,0.0
det_-1057_2_1,1257.87,1006.66,217.89
det_-1093_0_0,651.82,1943.59,0.0
det_-1093_0_1,728.36,1831.07,136.08
det_-1093_1_0,654.47,1945.39,0.0
det_-1093_1_1,731.0,1832.87,136.08
det_-1093_2_0,657.11,1947.19,0.0
det_-1093_2_1,733.65,1834.67,136.08
det_-11_0_0,731.22,1567.3,0.0
det_-11_0_1,864.29,1526.0,139.33
det_-11_1_0,732.17,1570.35,0.0
det_-11_1_1,865.23,1529.06,139.33
det_-11_2_0,733.11,1573.41,0.0
det_-11_2_1,866.18,1532.12,139.33
