-1005_0,det_-1005_0_1,126.56
-1005_1,det_-1005_1_1,126.56
-1005_2,det_-1005_2_1,126.56
-1011_0,det_-1011_0_1,237.86
-1011_1,det_-1011_1_1,237.86
-1011_2,det_-1011_2_1,237.86
-1027_0,det_-1027_0_1,222.6
-1027_1,det_-1027_1_1,222.6
-1027_2,det_-1027_2_1,222.6
-1029_0,det_-1029_0_1,166.99
-1029_1,det_-1029_1_1,166.99
-1029_2,det_-1029_2_1,166.99
-1033_0,det_-1033_0_1,97.87
-1033_1,det_-1033_1_1,97.87
-1033_2,det_-1033_2_1,97.87
-1057_0,det_-1057_0_1,231.32
-1057_1,det_-1057_1_1,231.32
-1057_2,det_-1057_2_1,231.32
-1093_0,det_-1093_0_1,161.81
-1093_1,det_-1093_1_1,161.81
-1093_2,det_-1093_2_1,161.81
-11_0,det_-11_0_1,159.92
-11_1,det_-11_1_1,159.92
-11_2,det_-11_2_1,159.92
-116_0,det_-116_0_1,159.43
-116_1,det_-116_1_1,159.43
-116_2,det_-116_2_1,159.43
-117_0,det_-117_0_1,112.36
-117_1,det_-117_1_1,112.36
-117_2,det_-117_2_1,112.36
-119_0,det_-119_0_1,113.01
-119_1,det_-119_1_1,113.01
-119_2,det_-119_2_1,113.01
-1199_0,det_-1199_0_1,93.96
-1199_1,det_-1199_1_1,93.96
-1199_2,det_-1199_2_1,93.96
-1201_0,det_-1201_0_1,182.84
-1201_1,det_-1201_1_1,182.84
-1201_2,det_-1201_2_1,182.84
-121_0,det_-121_0_1,201.36
-121_1,det_-121_1_1,201.36
-121_2,det_-121_2_1,201.36
-123_0,det_-123_0_1,144.98
-123_1,det_-123_1_1,144.98
-123_2,det_-123_2_1,144.98
-125_0,det_-125_0_1,176.93
-125_1,det_-125_1_1,176.93
-125_2,det_-125_2_1,176.93
-126_0,det_-126_0_1,216.23
-126_1,det_-126_1_1,216.23
-126_2,det_-126_2_1,216.23
-128_0,det_-128_0_1,104.66
-128_1,det_-128_1_1,104.66
-128_2,det_-128_2_1,104.66
-13_0,det_-13_0_1,129.68
-13_1,det_-13_1_1,129.68
-13_2,det_-13_2_1,129.68
-1323_0,det_-1323_0_1,234.62
-1323_1,det_-1323_1_1,234.62
-1323_2,det_-1323_2_1,234.62
-1342_0,det_-1342_0_1,164.79
-1342_1,det_-1342_1_1,164.79
-1342_2,det_-1342_2_1,164.79
-1343_0,det_-1343_0_1,138.97
-1343_1,det_-1343_1_1,138.97
-1343_2,det_-1343_2_1,138.97
-1345_0,det_-1345_0_1,197.22
-1345_1,det_-1345_1_1,197.22
-1345_2,det_-1345_2_1,197.22
-1357_0,det_-1357_0_1,127.50999999999999
-1357_1,det_-1357_1_1,127.50999999999999
-1357_2,det_-1357_2_1,127.50999999999999
-1359_0,det_-1359_0_1,225.21
-1359_1,det_-1359_1_1,225.21
-1359_2,det_-1359_2_1,225.21
-1363_0,det_-1363_0_1,165.91
-1363_1,det_-1363_1_1,165.91
-1363_2,det_-1363_2_1,165.91
-1373_0,det_-1373_0_1,228.58
-1373_1,det_-1373_1_1,228.58
-1373_2,det_-1373_2_1,228.58
-138_0,det_-138_0_1,208.95
-138_1,det_-138_1_1,208.95
-138_2,det_-138_2_1,208.95
-1388_0,det_-1388_0_1,151.55
-1388_1,det_-1388_1_1,151.55
-1388_2,det_-1388_2_1,151.55
-1391_0,det_-1391_0_1,143.69
-1391_1,det_-1391_1_1,143.69
-1391_2,det_-1391_2_1,143.69
-1396_0,det_-1396_0_1,104.86
-1396_1,det_-1396_1_1,104.86
-1396_2,det_-1396_2_1,104.86
-1404_0,det_-1404_0_1,130.12
-1404_1,det_-1404_1_1,130.12
-1404_2,det_-1404_2_1,130.12
-1415_0,det_-1415_0_1,214.35
-1415_1,det_-1415_1_1,214.35
-1415_2,det_-1415_2_1,214.35
-1425_0,det_-1425_0_1,200.96
-1425_1,det_-1425_1_1,200.96
-1425_2,det_-1425_2_1,200.96
-1427_0,det_-1427_0_1,173.5
-1427_1,det_-1427_1_1,173.5
-1427_2,det_-1427_2_1,173.5
-1429_0,det_-1429_0_1,115.55
-1429_1,det_-1429_1_1,115.55
-1429_2,det_-1429_2_1,115.55
-1431_0,det_-1431_0_1,140.71
-1431_1,det_-1431_1_1,140.71
-1431_2,det_-1431_2_1,140.71
-1441_0,det_-1441_0_1,197.0
